id,input,output
0,"Inflammation is a biological response of the immune system that can be triggered by a variety of factors, including pathogens, damaged cells and toxic compounds. These factors may induce acute and/or chronic inflammatory responses in the heart, pancreas, liver, kidney, lung, brain, intestinal tract and reproductive system, potentially leading to tissue damage or disease.","[{'entity1': 'Inflammation', 'relationship': 'response', 'entity2': 'immune system'}, {'entity1': 'Inflammation', 'relationship': 'triggered by', 'entity2': 'factors'}, {'entity1': 'factors', 'relationship': 'induce', 'entity2': 'inflammatory responses'}, {'entity1': 'Inflammation', 'relationship': 'lead to', 'entity2': 'tissue damage'}, {'entity1': 'Inflammation', 'relationship': 'lead to', 'entity2': 'disease'}]"
1,"Both infectious and non-infectious agents and cell damage activate inflammatory cells and trigger inflammatory signaling pathways, most commonly the NF-κB, MAPK, and JAK-STAT pathways.","[{'entity1': 'agents', 'relationship': 'activate', 'entity2': 'inflammatory cells'}, {'entity1': 'agents', 'relationship': 'trigger', 'entity2': 'signaling pathways'}, {'entity1': 'agents', 'relationship': 'infectious', 'entity2': 'inflammatory cells'}, {'entity1': 'agents', 'relationship': 'non-infectious', 'entity2': 'inflammatory cells'}, {'entity1': 'cell damage', 'relationship': 'activate', 'entity2': 'inflammatory cells'}]"
2,"Inflammation is the immune system’s response to harmful stimuli, such as pathogens, damaged cells, toxic compounds, or irradiation, and acts by removing injurious stimuli and initiating the healing process.","[{'entity1': 'Inflammation', 'relationship': 'response to', 'entity2': 'stimuli'}, {'entity1': 'Inflammation', 'relationship': 'acts by', 'entity2': 'removing stimuli'}, {'entity1': 'Inflammation', 'relationship': 'acts by', 'entity2': 'initiating healing process'}]"
3,"Inflammation is therefore a defense mechanism that is vital to health. Usually, during acute inflammatory responses, cellular and molecular events and interactions efficiently minimize impending injury or infection.","[{'entity1': 'Inflammation', 'relationship': 'defense mechanism', 'entity2': 'health'}, {'entity1': 'Inflammation', 'relationship': 'minimize', 'entity2': 'injury'}, {'entity1': 'Inflammation', 'relationship': 'minimize', 'entity2': 'infection'}]"
4,"However, uncontrolled acute inflammation may become chronic, contributing to a variety of chronic inflammatory diseases.","[{'entity1': 'acute inflammation', 'relationship': 'become', 'entity2': 'chronic'}, {'entity1': 'acute inflammation', 'relationship': 'contribute to', 'entity2': 'inflammatory diseases'}]"
5,"At the tissue level, inflammation is characterized by redness, swelling, heat, pain, and loss of tissue function, which result from local immune, vascular and inflammatory cell responses to infection or injury.","[{'entity1': 'Inflammation', 'relationship': 'characterized by', 'entity2': 'redness'}, {'entity1': 'Inflammation', 'relationship': 'characterized by', 'entity2': 'swelling'}, {'entity1': 'Inflammation', 'relationship': 'characterized by', 'entity2': 'heat'}, {'entity1': 'Inflammation', 'relationship': 'characterized by', 'entity2': 'pain'}, {'entity1': 'Inflammation', 'relationship': 'result from', 'entity2': 'immune responses'}, {'entity1': 'Inflammation', 'relationship': 'result from', 'entity2': 'vascular responses'}, {'entity1': 'Inflammation', 'relationship': 'result from', 'entity2': 'inflammatory cell responses'}]"
6,"Important microcirculatory events that occur during the inflammatory process include vascular permeability changes, leukocyte recruitment and accumulation, and inflammatory mediator release.","[{'entity1': 'microcirculatory events', 'relationship': 'occur during', 'entity2': 'inflammatory process'}, {'entity1': 'events', 'relationship': 'include', 'entity2': 'permeability changes'}, {'entity1': 'events', 'relationship': 'include', 'entity2': 'leukocyte recruitment'}, {'entity1': 'events', 'relationship': 'include', 'entity2': 'inflammatory mediator release'}]"
7,"Various pathogenic factors, such as infection, tissue injury, or cardiac infarction, can induce inflammation by causing tissue damage.","[{'entity1': 'pathogenic factors', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'pathogenic factors', 'relationship': 'cause', 'entity2': 'tissue damage'}, {'entity1': 'infection', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'tissue injury', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'cardiac infarction', 'relationship': 'induce', 'entity2': 'inflammation'}]"
8,"The etiologies of inflammation can be infectious or non-infectious. In response to tissue injury, the body initiates a chemical signaling cascade that stimulates responses aimed at healing affected tissues.","[{'entity1': 'etiologies', 'relationship': 'infectious', 'entity2': 'inflammation'}, {'entity1': 'etiologies', 'relationship': 'non-infectious', 'entity2': 'inflammation'}, {'entity1': 'tissue injury', 'relationship': 'initiates', 'entity2': 'signaling cascade'}, {'entity1': 'signaling cascade', 'relationship': 'stimulates', 'entity2': 'responses'}, {'entity1': 'responses', 'relationship': 'aimed at', 'entity2': 'healing tissues'}]"
9,"The inflammatory response is the coordinate activation of signaling pathways in inflammatory mediator levels in resident tissue cells and inflammatory cells recruited from the blood. Inflammation is a common pathogenesis of many chronic diseases, including cardiovascular and bowel diseases, diabetes, arthritis, and cancer.","[{'entity1': 'Inflammatory response', 'relationship': 'activation', 'entity2': 'signaling pathways'}, {'entity1': 'Inflammatory response', 'relationship': 'pathogenesis', 'entity2': 'Chronic diseases'}, {'entity1': 'Inflammatory response', 'relationship': 'pathogenesis', 'entity2': 'Cardiovascular diseases'}, {'entity1': 'Inflammatory response', 'relationship': 'pathogenesis', 'entity2': 'Diabetes'}, {'entity1': 'Inflammatory response', 'relationship': 'pathogenesis', 'entity2': 'Arthritis'}, {'entity1': 'Inflammatory response', 'relationship': 'pathogenesis', 'entity2': 'Cancer'}]"
