id,input,output
0,"Sepsis is an aggressive and life-threatening organ dysfunction induced by infection. Excessive inflammation and coagulation contribute to the negative outcomes for sepsis, resulting in high morbidity and mortality. In this study, we explored whether Eupatilin could alleviate lung injury, reduce inflammation and coagulation during sepsis.","[{'entity1': 'Sepsis', 'relationship': 'organ dysfunction', 'entity2': 'Infection'}, {'entity1': 'Inflammation', 'relationship': 'contribute to', 'entity2': 'Negative outcomes'}, {'entity1': 'Inflammation', 'relationship': 'contribute to', 'entity2': 'High morbidity'}, {'entity1': 'Inflammation', 'relationship': 'contribute to', 'entity2': 'Mortality'}, {'entity1': 'Eupatilin', 'relationship': 'alleviate', 'entity2': 'Lung injury'}, {'entity1': 'Eupatilin', 'relationship': 'reduce', 'entity2': 'Inflammation'}, {'entity1': 'Eupatilin', 'relationship': 'reduce', 'entity2': 'Coagulation'}]"
1,"We constructed an in vitro sepsis model by stimulating RAW264.7 cells with 1 μg/mL lipopolysaccharide (LPS) for 6 hours. The cells were divided into control group, LPS group, LPS+ Eupatilin (Eup) group, and Eup group to detect their cell activity.","[{'entity1': 'RAW264.7 cells', 'relationship': 'stimulating', 'entity2': 'Lipopolysaccharide (LPS)'}, {'entity1': 'LPS', 'relationship': 'model', 'entity2': 'Sepsis'}, {'entity1': 'LPS', 'relationship': 'stimulating', 'entity2': 'RAW264.7 cells'}, {'entity1': 'Eupatilin', 'relationship': 'treatment', 'entity2': 'Sepsis'}, {'entity1': 'Eupatilin', 'relationship': 'affect', 'entity2': 'Cell activity'}]"
2,"Sepsis is a life-threatening organ dysfunction caused by infection, which results from dysregulated host response. A study reported in Lancet showed that sepsis remains a major cause of health loss worldwide, with 48.9 million cases each year and approximately 11 million deaths, which accounts around one-fifth of the total global deaths. According to Nature Reviews Disease Primers, more than half of sepsis patients are complicated with coagulation system imbalance. Moreover, in patients who have sepsis with disseminated intravascular coagulation (DIC) the mortality rate is almost twice that of sepsis patients without DIC. Therefore, reducing inflammation and coagulation disorders could be the key to reducing sepsis mortality.","[{'entity1': 'Sepsis', 'relationship': 'organ dysfunction', 'entity2': 'Infection'}, {'entity1': 'Sepsis', 'relationship': 'cause', 'entity2': 'Dysregulated host response'}, {'entity1': 'Sepsis', 'relationship': 'complicated with', 'entity2': 'Coagulation system imbalance'}, {'entity1': 'Sepsis', 'relationship': 'complicated with', 'entity2': 'Disseminated intravascular coagulation'}, {'entity1': 'DIC', 'relationship': 'complication of', 'entity2': 'Sepsis'}, {'entity1': 'Inflammation', 'relationship': 'reducing', 'entity2': 'Sepsis mortality'}, {'entity1': 'Coagulation disorders', 'relationship': 'reducing', 'entity2': 'Sepsis mortality'}]"
3,Eupatilin may modulate inflammation and coagulation indicators as well as improve lung injury in sepsis via the JAK2/STAT3 signaling pathway.,"[{'entity1': 'Eupatilin', 'relationship': 'modulate', 'entity2': 'Inflammation'}, {'entity1': 'Eupatilin', 'relationship': 'modulate', 'entity2': 'Coagulation indicators'}, {'entity1': 'Eupatilin', 'relationship': 'improve', 'entity2': 'Lung injury'}, {'entity1': 'Eupatilin', 'relationship': 'act via', 'entity2': 'JAK2/STAT3 signaling pathway'}]"
4,"Tumor necrosis factor (TNF)-α, interleukin (IL)-1β, IL-6, and tissue factor (TF) expression in LPS-stimulated RAW264.7 cells was downregulated by Eupatilin (10μM).","[{'entity1': 'Tumor necrosis factor', 'relationship': 'downregulated by', 'entity2': 'Eupatilin'}, {'entity1': 'Interleukin', 'relationship': 'downregulated by', 'entity2': 'Eupatilin'}, {'entity1': 'IL-6', 'relationship': 'downregulated by', 'entity2': 'Eupatilin'}, {'entity1': 'Tissue factor', 'relationship': 'downregulated by', 'entity2': 'Eupatilin'}, {'entity1': 'RAW264.7 cells', 'relationship': 'stimulated by', 'entity2': 'LPS'}]"
5,"Macrophages are involved in various pathophysiological processes in sepsis, including inflammation, coagulation, immunity and metabolism, and play a crucial role in sepsis-induced acute lung injury. In the early stages of sepsis, macrophages engulf pathogens and activate the innate immune system.","[{'entity1': 'Macrophages', 'relationship': 'involved', 'entity2': 'pathophysiological processes'}, {'entity1': 'Macrophages', 'relationship': 'role', 'entity2': 'sepsis-induced acute lung injury'}, {'entity1': 'Macrophages', 'relationship': 'engulf', 'entity2': 'pathogens'}, {'entity1': 'Macrophages', 'relationship': 'activate', 'entity2': 'innate immune system'}]"
6,"Lipopolysaccharide (LPS), an important cell wall constituent of Gram-negative bacteria, is a potent inducer of inflammatory responses. After exposure to LPS, macrophages produce large amounts of inflammatory cytokines, interleukin (IL)-1, IL-6, and tumor necrosis factor (TNF.","[{'entity1': 'Lipopolysaccharide', 'relationship': 'inducer', 'entity2': 'inflammatory responses'}, {'entity1': 'LPS', 'relationship': 'exposure', 'entity2': 'macrophages'}, {'entity1': 'Macrophages', 'relationship': 'produce', 'entity2': 'inflammatory cytokines'}]"
7,"Eupatilin (Eup) is a lipophilic flavonoid isolated from Artemisia argyi, which has the effect of warming the meridian to stop bleeding, dispersing cold and relieving pain. In recent years, Eupatilin has been found to have biological activities against inflammation, oxidation, and tumors.","[{'entity1': 'Eupatilin', 'relationship': 'isolated', 'entity2': 'Artemisia argyi'}, {'entity1': 'Eupatilin', 'relationship': 'effect', 'entity2': 'warming the meridian'}, {'entity1': 'Eupatilin', 'relationship': 'activities against', 'entity2': 'inflammation'}]"
8,"Eupatilin can reduce the inflammatory response in LPS-induced rats, decreasing the level of surfactant protein (SP)-A, SP-D, and inflammatory factors.","[{'entity1': 'Eupatilin', 'relationship': 'reduce', 'entity2': 'inflammatory response'}, {'entity1': 'Eupatilin', 'relationship': 'decreasing', 'entity2': 'level'}, {'entity1': 'Eupatilin', 'relationship': 'decreasing', 'entity2': 'surfactant protein A'}, {'entity1': 'Eupatilin', 'relationship': 'decreasing', 'entity2': 'surfactant protein D'}]"
9,Eupatilin can reduce the number of inflammatory cells in OVA-induced asthmatic mice and inhibit the NF-κB and MAPK pathways.,"[{'entity1': 'Eupatilin', 'relationship': 'reduce', 'entity2': 'number of inflammatory cells'}, {'entity1': 'Eupatilin', 'relationship': 'inhibit', 'entity2': 'NF-κB pathway'}, {'entity1': 'Eupatilin', 'relationship': 'inhibit', 'entity2': 'MAPK pathway'}]"
